a,b,c,d,e,f
Record Length,2.500000e+03,,   0.000000000000,   0.40000,
Sample Interval,2.000000e-01,,   0.200000000000,   0.40000,
Trigger Point,0.000000000000e+00,,   0.400000000000,   0.80000,
,,,   0.600000000000,   0.80000,
,,,   0.800000000000,   0.40000,
,,,   1.000000000000,   0.40000,
Source,CH1,,   1.200000000000,   0.40000,
Vertical Units,V,,   1.400000000000,   0.40000,
Vertical Scale,1.000000e+01,,   1.600000000000,   0.80000,
Vertical Offset,8.000000e-01,,   1.800000000000,   0.80000,
Horizontal Units,s,,   2.000000000000,   0.40000,
Horizontal Scale,5.000000e+01,,   2.200000000000,   0.40000,
Pt Fmt,Y,,   2.400000000000,   0.80000,
Yzero,0.000000e+00,,   2.600000000000,   0.40000,
Probe Atten,1.000000e+01,,   2.800000000000,   0.80000,
Model Number,TDS2022C,,   3.000000000000,   0.80000,
Serial Number,C030291,,   3.200000000000,   0.80000,
Firmware Version,FV:v24.26,,   3.400000000000,   0.80000,
,,,3.600000000000,   0.40000,
,,,3.800000000000,   0.40000,
,,,4.000000000000,   0.80000,
,,,4.200000000000,   0.80000,
,,,4.400000000000,   0.80000,
,,,4.600000000000,   0.80000,
,,,4.800000000000,   0.80000,
,,,5.000000000000,   0.40000,
,,,5.200000000000,   0.80000,
,,,5.400000000000,   0.80000,
,,,5.600000000000,   0.40000,
,,,5.800000000000,   0.80000,
,,,6.000000000000,   0.80000,
,,,6.200000000000,   0.40000,
,,,6.400000000000,   0.80000,
,,,6.600000000000,   0.40000,
,,,6.800000000000,   0.80000,
,,,7.000000000000,   0.80000,
,,,7.200000000000,   0.80000,
,,,7.400000000000,   0.80000,
,,,7.600000000000,   0.80000,
,,,7.800000000000,   0.40000,
,,,8.000000000000,   0.80000,
,,,8.200000000000,   0.80000,
,,,8.400000000000,   0.80000,
,,,8.600000000000,   0.40000,
,,,8.800000000000,   0.80000,
,,,9.000000000000,   0.40000,
,,,9.200000000000,   0.40000,
,,,9.400000000000,   0.80000,
,,,9.600000000000,   0.40000,
,,,9.800000000000,   0.80000,
,,,10.000000000000,   0.80000,
,,,10.200000000000,   0.80000,
,,,10.400000000000,   0.80000,
