time	V(n001)	I(R2)
03702013682e-07	5.490456e-16	0.000
74396639605e-07	5.567710e-16	0.000
56192328679e-07	5.940943e-16	0.000
52202101940e-07	6.256021e-16	0.000
70298416396e-07	6.652459e-16	0.000
68961401916e-07	7.090639e-16	0.000
00658256903e-07	7.501664e-16	0.000
81311462012e-07	7.551467e-16	0.000
20244034208e-07	7.581144e-16	0.000
75003154330e-07	7.606083e-16	0.000
24870167143e-07	7.637832e-16	0.000
15836352227e-07	7.725469e-16	0.000
12487767390e-07	8.138545e-16	0.000
43117972824e-07	8.482331e-16	0.000
36735500823e-07	8.911572e-16	0.000
94473767209e-07	9.385808e-16	0.000
09982013091e-07	9.813790e-16	0.000
06125192340e-07	9.866663e-16	0.000
43891123572e-07	9.899033e-16	0.000
76810448608e-07	9.932656e-16	0.000
09358590904e-07	9.972963e-16	0.000
22092361248e-07	1.007785e-15	0.000
66228905054e-07	1.055511e-15	0.000
13487676296e-07	1.094227e-15	0.000
83631041674e-07	1.140633e-15	0.000
81475515414e-07	1.193089e-15	0.000
51839655812e-07	1.224867e-15	0.000
01169919778e-07	1.232819e-15	0.000
42450296861e-07	1.237784e-15	0.000
16006435556e-07	1.241071e-15	0.000
43613297156e-07	1.244888e-15	0.000
23230964652e-07	1.252541e-15	0.000
60775956784e-07	1.292872e-15	0.000
52709050632e-07	1.329209e-15	0.000
18178748034e-07	1.375310e-15	0.000
24538930051e-07	1.427733e-15	0.000
13565502559e-07	1.462611e-15	0.000
54931883781e-07	1.493149e-15	0.000
57034250331e-07	1.501164e-15	0.000
16905636925e-07	1.506107e-15	0.000
53964821040e-07	1.509645e-15	0.000
01847497970e-07	1.514018e-15	0.000
22764653587e-07	1.525112e-15	0.000
15494745956e-07	1.575523e-15	0.000
25020420613e-07	1.617660e-15	0.000
98689409650e-07	1.668896e-15	0.000
86254383678e-07	1.726828e-15	0.000
23641629847e-07	1.782556e-15	0.000
76964589600e-07	1.789807e-15	0.000
22463207599e-07	1.794412e-15	0.000
91478739719e-07	1.799185e-15	0.000
05521014241e-07	1.804537e-15	0.000
86207292613e-07	1.818056e-15	0.000
47063305948e-07	1.877018e-15	0.000
08972998498e-07	1.924048e-15	0.000
69562233223e-07	1.980091e-15	0.000
44529609201e-07	2.043610e-15	0.000
05509353132e-07	2.082267e-15	0.000
82609647629e-07	2.092143e-15	0.000
93055752611e-07	2.098588e-15	0.000
64943648179e-07	2.103108e-15	0.000
91844505270e-07	2.108474e-15	0.000
15530778785e-07	2.120731e-15	0.000
13555275259e-07	2.177459e-15	0.000
57654198786e-07	2.226466e-15	0.000
94173153289e-07	2.282091e-15	0.000
22617795838e-07	2.348675e-15	0.000
57095235417e-07	2.412709e-15	0.000
61213275091e-07	2.421296e-15	0.000
81079809616e-07	2.426891e-15	0.000
96054933702e-07	2.432729e-15	0.000
20680194269e-07	2.439311e-15	0.000
70937262806e-07	2.455129e-15	0.000
81996706591e-07	2.522614e-15	0.000
76558463303e-07	2.575932e-15	0.000
90250007260e-07	2.638482e-15	0.000
47757674322e-07	2.710241e-15	0.000
95999766294e-07	2.753152e-15	0.000
45469578249e-07	2.763871e-15	0.000
66678165971e-07	2.771160e-15	0.000
35109332555e-07	2.776602e-15	0.000
15469585126e-07	2.783167e-15	0.000
48957009513e-07	2.798627e-15	0.000
34461549311e-07	2.865025e-15	0.000
89711134632e-07	2.919195e-15	0.000
48976022532e-07	2.983315e-15	0.000
