time	V(n001)	I(R2)
0.000000000000000e+00	-6.531715e-24	-1.718872e-25
1.047072078654174e-09	-6.919522e-22	-1.820927e-23
2.094144157308348e-09	-3.163119e-22	-8.323999e-24
3.141216235962521e-09	1.120389e-21	2.948392e-23
4.188288314616695e-09	3.618151e-21	9.521449e-23
5.235360393270868e-09	7.176973e-21	1.888677e-22
6.282432471925043e-09	1.179686e-20	3.104436e-22
7.329504550579214e-09	1.747780e-20	4.599421e-22
1.467297984612041e-08	4.251053e-19	1.118698e-20
1.863927521396922e-08	1.130991e-18	2.976291e-20
2.354877665046929e-08	2.520200e-18	6.632104e-20
2.939442089587256e-08	4.401507e-18	1.158291e-19
3.465227144683967e-08	5.616280e-18	1.477968e-19
3.688127287987870e-08	5.846990e-18	1.538682e-19
3.884343234661728e-08	5.947950e-18	1.565250e-19
4.034839282811926e-08	5.982049e-18	1.574224e-19
4.216654955548463e-08	6.013291e-18	1.582445e-19
4.396372426929398e-08	6.099119e-18	1.605031e-19
4.755807369691268e-08	6.525996e-18	1.717367e-19
5.503129429627641e-08	9.244716e-18	2.432820e-19
5.891166231750141e-08	1.181670e-17	3.109659e-19
6.375984300459508e-08	1.577588e-17	4.151546e-19
6.910816534661003e-08	2.017980e-17	5.310473e-19
7.688734302459661e-08	2.394670e-17	6.301764e-19
7.897955130708955e-08	2.426605e-17	6.385803e-19
8.205376697552562e-08	2.444500e-17	6.432894e-19
8.365670980472190e-08	2.455549e-17	6.461971e-19
8.686259546311447e-08	2.509599e-17	6.604207e-19
9.414399204834563e-08	2.907507e-17	7.651335e-19
9.804308603020013e-08	3.313438e-17	8.719573e-19
1.025286614461549e-07	3.905254e-17	1.027698e-18
1.074324250684964e-07	4.586185e-17	1.206891e-18
1.110304861422048e-07	5.027156e-17	1.322936e-18
1.162330873907252e-07	5.426058e-17	1.427910e-18
1.185423705008634e-07	5.507450e-17	1.449329e-18
1.204841036089554e-07	5.543265e-17	1.458754e-18
1.220149799097698e-07	5.558136e-17	1.462667e-18
1.238443396250720e-07	5.573939e-17	1.466826e-18
1.258996024858324e-07	5.610313e-17	1.476398e-18
1.291071776949513e-07	5.737097e-17	1.509762e-18
1.365609512776403e-07	6.497528e-17	1.709876e-18
1.406614307150474e-07	7.195475e-17	1.893546e-18
1.452993661613885e-07	8.087502e-17	2.128290e-18
1.509377394936333e-07	9.116029e-17	2.398955e-18
1.586425253801063e-07	9.894810e-17	2.603897e-18
1.607194154767688e-07	9.963661e-17	2.622016e-18
1.639195752524054e-07	1.001208e-16	2.634758e-18
1.655295684215476e-07	1.004292e-16	2.642875e-18
1.687495547598322e-07	1.017348e-16	2.677233e-18
1.760590058015215e-07	1.101669e-16	2.899130e-18
1.799779908561507e-07	1.181842e-16	3.110109e-18
1.845113357523676e-07	1.293390e-16	3.403658e-18
1.895069259076630e-07	1.417252e-16	3.729610e-18
1.927970680813920e-07	1.486766e-16	3.912541e-18
1.980855735936119e-07	1.555314e-16	4.092932e-18
2.003681554941989e-07	1.569114e-16	4.129247e-18
2.022788814130002e-07	1.575520e-16	4.146106e-18
2.038250734728833e-07	1.578674e-16	4.154406e-18
2.056421912862070e-07	1.582536e-16	4.164568e-18
2.082156987015038e-07	1.592979e-16	4.192049e-18
