time	V(n001)	I(R2)
3.797757812353201e-07	5.564986e-16	2.928940e-17
3.840184837399206e-07	5.759209e-16	3.031163e-17
3.882547453771288e-07	5.987391e-16	3.151258e-17
3.934760826998003e-07	6.268080e-16	3.298990e-17
3.970052365058344e-07	6.429125e-16	3.383750e-17
4.022000292676824e-07	6.577312e-16	3.461743e-17
4.045133265279048e-07	6.611024e-16	3.479486e-17
4.064821876522708e-07	6.629106e-16	3.489003e-17
4.081415552876412e-07	6.640072e-16	3.494775e-17
4.100454850283374e-07	6.654074e-16	3.502144e-17
4.132629118835256e-07	6.694109e-16	3.523215e-17
4.208571318347661e-07	6.921962e-16	3.643138e-17
4.250067506194571e-07	7.136959e-16	3.756294e-17
4.293570810475799e-07	7.399187e-16	3.894309e-17
4.345455548769717e-07	7.708637e-16	4.057177e-17
4.377638911185527e-07	7.870724e-16	4.142486e-17
4.431186497309867e-07	8.040060e-16	4.231611e-17
4.454168847859859e-07	8.077487e-16	4.251309e-17
4.473694182625215e-07	8.097871e-16	4.262038e-17
4.490505424347327e-07	8.110921e-16	4.268906e-17
4.509582555086435e-07	8.128142e-16	4.277970e-17
4.545508961847827e-07	8.181886e-16	4.306256e-17
4.621929969340976e-07	8.454092e-16	4.449522e-17
4.661870835113348e-07	8.688275e-16	4.572777e-17
4.707624970142968e-07	8.994601e-16	4.734000e-17
4.759099020249541e-07	9.328309e-16	4.909636e-17
4.842697373894704e-07	9.669761e-16	5.089348e-17
4.865331355131211e-07	9.708882e-16	5.109938e-17
4.884467110976879e-07	9.730660e-16	5.121401e-17
4.901480247984568e-07	9.745830e-16	5.129384e-17
4.920403174635613e-07	9.766548e-16	5.140289e-17
4.958249027937703e-07	9.834403e-16	5.176001e-17
5.034882549272614e-07	1.015268e-15	5.343515e-17
5.074008083582059e-07	1.040949e-15	5.478679e-17
5.121493986606653e-07	1.075853e-15	5.662384e-17
5.173355301112502e-07	1.112025e-15	5.852765e-17
5.254742162342436e-07	1.146716e-15	6.035349e-17
5.276964851761889e-07	1.150757e-15	6.056615e-17
5.295707035155648e-07	1.153071e-15	6.068793e-17
5.313204170754861e-07	1.154859e-15	6.078205e-17
5.332145825109553e-07	1.157254e-15	6.090810e-17
5.365861769841709e-07	1.164149e-15	6.127098e-17
5.441334198437396e-07	1.198097e-15	6.305774e-17
5.481775327604615e-07	1.226966e-15	6.457718e-17
5.527670641691028e-07	1.263600e-15	6.650524e-17
5.580707729574208e-07	1.303973e-15	6.863014e-17
5.662493971835785e-07	1.342344e-15	7.064967e-17
5.684814897431237e-07	1.346904e-15	7.088969e-17
5.703731909214848e-07	1.349565e-15	7.102973e-17
5.721511800535245e-07	1.351653e-15	7.113964e-17
5.740703702134472e-07	1.354413e-15	7.128489e-17
5.774474396737030e-07	1.362138e-15	7.169149e-17
5.850156192411932e-07	1.399461e-15	7.365587e-17
