time	V(n001)	I(R2)
0.000000000000000e+00	-2.995293e-22	-3.941176e-24
1.047072078654203e-09	-9.852693e-22	-1.296407e-23
2.094144157308405e-09	-6.099157e-22	-8.025207e-24
3.141216235962608e-09	8.265316e-22	1.087542e-23
4.188288314616810e-09	3.324073e-21	4.373780e-23
5.235360393271012e-09	6.882707e-21	9.056193e-23
6.282432471925216e-09	1.150244e-20	1.513478e-22
7.329504550579415e-09	1.718326e-20	2.260955e-22
1.467297984631495e-08	4.248103e-19	5.589610e-21
1.863927521439046e-08	1.130696e-18	1.487757e-20
2.354877665061022e-08	2.519905e-18	3.315664e-20
2.939442089613858e-08	4.401212e-18	5.791069e-20
3.465227144705474e-08	5.615985e-18	7.389454e-20
3.688127288008808e-08	5.846695e-18	7.693020e-20
3.884343234697270e-08	5.947655e-18	7.825862e-20
4.034839282845806e-08	5.981755e-18	7.870730e-20
4.216654955590937e-08	6.012996e-18	7.911837e-20
4.396372426899366e-08	6.098825e-18	8.024769e-20
4.755807369516224e-08	6.525702e-18	8.586449e-20
5.503129429401940e-08	9.244421e-18	1.216371e-19
5.891166231538994e-08	1.181641e-17	1.554791e-19
6.375984300155036e-08	1.577558e-17	2.075735e-19
6.910816534244154e-08	2.017950e-17	2.655198e-19
7.688734302203244e-08	2.394641e-17	3.150843e-19
7.897955130478762e-08	2.426576e-17	3.192863e-19
8.205376697259551e-08	2.444470e-17	3.216409e-19
8.365670980138177e-08	2.455520e-17	3.230947e-19
8.686259545895431e-08	2.509570e-17	3.302065e-19
9.414399204376369e-08	2.907478e-17	3.825629e-19
9.804308602572751e-08	3.313409e-17	4.359748e-19
1.025286614407424e-07	3.905224e-17	5.138453e-19
1.074324250622483e-07	4.586156e-17	6.034415e-19
1.110304861430361e-07	5.027127e-17	6.614640e-19
1.162330873884485e-07	5.426029e-17	7.139511e-19
1.185423704989760e-07	5.507420e-17	7.246606e-19
1.204841036074284e-07	5.543236e-17	7.293732e-19
1.220149799080069e-07	5.558106e-17	7.313298e-19
1.238443396234125e-07	5.573910e-17	7.334092e-19
1.258996024789670e-07	5.610284e-17	7.381953e-19
1.291071776888469e-07	5.737069e-17	7.548774e-19
1.365609512697623e-07	6.497500e-17	8.549341e-19
1.406614307048958e-07	7.195446e-17	9.467692e-19
1.452993661512386e-07	8.087473e-17	1.064141e-18
